	compd_KS_count	KS1	KS2	KS3	KS4	KS5	KS6	KS7	KS8	KS9	KS10	KS11	KS12	KS13	KS14	KS15	KS16	KS17	KS18	KS19	KS20	KS21	KS22	KS23	KS24	KS25	KS26	KS27	KS28	KS29	KS30	KS31	KS32	KS33	KS34	KS35	KS36	KS37	KS38	KS1b	KS2b	KS3b	KS4b
oocydin_Smar|JX315603	16	Clade_92	Clade_88	Clade_11	Clade_82	Clade_35	Clade_77	Clade_78	Clade_25	Clade_15	Clade_33	Clade_98	Clade_15	Clade_80	Clade_69	Clade_79	Clade_86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
oxazolomycin|EF552687	12	Clade_48	Clade_30	Clade_66	Clade_3	Clade_70	Clade_80	Clade_60	Clade_83	Clade_2	Clade_66	Clade_43	Clade_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
pederin|AY328023	13	Clade_8	Clade_57	Clade_88	Clade_34	Clade_1	Clade_58	Clade_80	Clade_23	Clade_78	Clade_11	Clade_13	Clade_62	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phormidolide|ALVN01000014	15	Clade_92	Clade_88	Clade_14	clade_not_conserved	Clade_54	Clade_80	Clade_54	Clade_82	Clade_35	Clade_77	Clade_78	Clade_25	Clade_88	Clade_62	Clade_86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
psymberin|FJ823461	11	Clade_8	Clade_88	Clade_34	clade_not_conserved	Clade_58	Clade_80	clade_not_conserved	Clade_80	Clade_78	Clade_71	Clade_40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rhizopodin|FR854394	19	Clade_30	Clade_31	Clade_49	Clade_81	Clade_66	Clade_90	Clade_49	Clade_81	Clade_90	Clade_73	Clade_75	Clade_44	Clade_49	Clade_81	clade_not_conserved	Clade_68	Clade_49	Clade_81	clade_not_conserved	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rhizoxins|AM411073	16	Clade_33	Clade_75	Clade_44	Clade_47	Clade_62	Clade_46	Clade_80	clade_not_conserved	Clade_80	Clade_16	Clade_72	Clade_5	Clade_78	Clade_61	Clade_39	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seudotrienic_acid|AKJU01000004	9	Clade_63	Clade_47	Clade_79	clade_not_conserved	Clade_33	Clade_37	Clade_63	clade_not_conserved	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sorangicin|HM584908	24	Clade_6	Clade_12	Clade_93	clade_not_conserved	Clade_78	Clade_82	Clade_3	Clade_74	Clade_25	Clade_64	Clade_12	clade_not_conserved	Clade_93	Clade_78	Clade_95	Clade_25	Clade_64	Clade_93	Clade_83	Clade_25	Clade_64	Clade_3	Clade_64	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tartrolon|CP001614	11	Clade_45	Clade_38	no_clade	Clade_42	Clade_36	Clade_5	Clade_37	Clade_32	Clade_51	clade_not_conserved	Clade_38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
thailandamide|CP000085	16	Clade_7	Clade_78	Clade_63	Clade_33	clade_not_conserved	Clade_63	Clade_82	Clade_3	Clade_70	Clade_71	Clade_52	Clade_64	Clade_82	Clade_63	Clade_46	Clade_60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
tolytoxin|KR857271	19	Clade_30	Clade_27	Clade_49	Clade_81	Clade_65	Clade_90	Clade_80	Clade_85	Clade_78	Clade_80	Clade_60	Clade_83	Clade_59	Clade_3	Clade_69	Clade_23	Clade_59	Clade_47	Clade_74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
virginiamycin|AB283030	7	Clade_9	Clade_48	Clade_2	Clade_66	Clade_81	Clade_51	Clade_75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
